Area,Date,Unadjusted CPI Index
East South Central(4),4/1/22,116.043
West South Central(4),4/1/22,116.294
West,4/1/22,307.145
West - Size Class A,4/1/22,315.653
West - Size Class B/C(3),4/1/22,179.339
Mountain(4),4/1/22,121.551
Pacific(4),4/1/22,118.546
Size classes,4/1/22,
Size Class A(5),4/1/22,265.585
Size Class B/C(3),4/1/22,176.544
Selected local areas,4/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",4/1/22,269.569
"Los Angeles-Long Beach-Anaheim, CA",4/1/22,308.302
"New York-Newark-Jersey City, NY-NJ-PA",4/1/22,307.781
"Atlanta-Sandy Springs-Roswell, GA",4/1/22,284.925
"Baltimore-Columbia-Towson, MD(6)",4/1/22,290.688
"Detroit-Warren-Dearborn, MI",4/1/22,265.074
"Houston-The Woodlands-Sugar Land, TX",4/1/22,256.668
"Miami-Fort Lauderdale-West Palm Beach, FL",4/1/22,307.42
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4/1/22,287.602
"Phoenix-Mesa-Scottsdale, AZ(7)",4/1/22,167.396
"San Francisco-Oakland-Hayward, CA",4/1/22,324.878
"Seattle-Tacoma-Bellevue, WA",4/1/22,316.525
"St. Louis, MO-IL",4/1/22,262.296
Urban Alaska,4/1/22,251.041
"Boston-Cambridge-Newton, MA-NH",4/1/22,
"Dallas-Fort Worth-Arlington, TX",4/1/22,
"Denver-Aurora-Lakewood, CO",4/1/22,
"Minneapolis-St.Paul-Bloomington, MN-WI",4/1/22,
"Riverside-San Bernardino-Ontario, CA(4)",4/1/22,
"San Diego-Carlsbad, CA",4/1/22,
"Tampa-St. Petersburg-Clearwater, FL(8)",4/1/22,
Urban Hawaii,4/1/22,
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",4/1/22,
U.S. city average,5/1/22,292.296
Region and area size(2),5/1/22,
Northeast,5/1/22,302.939
Northeast - Size Class A,5/1/22,304.491
Northeast - Size Class B/C(3),5/1/22,179.924
New England(4),5/1/22,116.416
Middle Atlantic(4),5/1/22,116.08
Midwest,5/1/22,272.673
Midwest - Size Class A,5/1/22,271.973
Midwest - Size Class B/C(3),5/1/22,174.858
East North Central(4),5/1/22,118.062
West North Central(4),5/1/22,118.774
South,5/1/22,283.307
South - Size Class A,5/1/22,288.852
South - Size Class B/C(3),5/1/22,178.936
South Atlantic(4),5/1/22,119.625
East South Central(4),5/1/22,117.285
West South Central(4),5/1/22,117.979
West,5/1/22,309.645
West - Size Class A,5/1/22,318.204
West - Size Class B/C(3),5/1/22,180.81
Mountain(4),5/1/22,122.454
Pacific(4),5/1/22,119.543
Size classes,5/1/22,
Size Class A(5),5/1/22,268.258
Size Class B/C(3),5/1/22,178.62
Selected local areas,5/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",5/1/22,274.301
"Los Angeles-Long Beach-Anaheim, CA",5/1/22,310.649
"New York-Newark-Jersey City, NY-NJ-PA",5/1/22,309.243
"Atlanta-Sandy Springs-Roswell, GA",5/1/22,
"Baltimore-Columbia-Towson, MD(6)",5/1/22,
"Detroit-Warren-Dearborn, MI",5/1/22,
"Houston-The Woodlands-Sugar Land, TX",5/1/22,
"Miami-Fort Lauderdale-West Palm Beach, FL",5/1/22,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5/1/22,
"Phoenix-Mesa-Scottsdale, AZ(7)",5/1/22,
"San Francisco-Oakland-Hayward, CA",5/1/22,
"Seattle-Tacoma-Bellevue, WA",5/1/22,
"St. Louis, MO-IL",5/1/22,
Urban Alaska,5/1/22,
"Boston-Cambridge-Newton, MA-NH",5/1/22,313.578
"Dallas-Fort Worth-Arlington, TX",5/1/22,274.196
"Denver-Aurora-Lakewood, CO",5/1/22,303.51
"Minneapolis-St.Paul-Bloomington, MN-WI",5/1/22,285.784
"Riverside-San Bernardino-Ontario, CA(4)",5/1/22,123.893
"San Diego-Carlsbad, CA",5/1/22,343.502
"Tampa-St. Petersburg-Clearwater, FL(8)",5/1/22,273.245
Urban Hawaii,5/1/22,317.207
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",5/1/22,296.559
U.S. city average,6/1/22,296.311
Region and area size(2),6/1/22,
Northeast,6/1/22,306.453
Northeast - Size Class A,6/1/22,308.303
Northeast - Size Class B/C(3),6/1/22,181.809
New England(4),6/1/22,117.342
Middle Atlantic(4),6/1/22,117.594
Midwest,6/1/22,277.072
Midwest - Size Class A,6/1/22,276.265
Midwest - Size Class B/C(3),6/1/22,177.717
East North Central(4),6/1/22,120.218
West North Central(4),6/1/22,120.157
South,6/1/22,287.427
South - Size Class A,6/1/22,292.087
South - Size Class B/C(3),6/1/22,181.839
South Atlantic(4),6/1/22,121.339
East South Central(4),6/1/22,119.152
West South Central(4),6/1/22,119.671
West,6/1/22,313.496
West - Size Class A,6/1/22,322.591
West - Size Class B/C(3),6/1/22,182.79
Mountain(4),6/1/22,123.933
Pacific(4),6/1/22,121.046
Size classes,6/1/22,
Size Class A(5),6/1/22,271.77
Size Class B/C(3),6/1/22,181.161
Selected local areas,6/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",6/1/22,277.78
"Los Angeles-Long Beach-Anaheim, CA",6/1/22,314.072
"New York-Newark-Jersey City, NY-NJ-PA",6/1/22,313.589
"Atlanta-Sandy Springs-Roswell, GA",6/1/22,291.764
"Baltimore-Columbia-Towson, MD(6)",6/1/22,298.273
"Detroit-Warren-Dearborn, MI",6/1/22,272.911
"Houston-The Woodlands-Sugar Land, TX",6/1/22,263.874
"Miami-Fort Lauderdale-West Palm Beach, FL",6/1/22,314.971
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6/1/22,294.207
"Phoenix-Mesa-Scottsdale, AZ(7)",6/1/22,172.643
"San Francisco-Oakland-Hayward, CA",6/1/22,330.539
"Seattle-Tacoma-Bellevue, WA",6/1/22,326.656
"St. Louis, MO-IL",6/1/22,268.513
Urban Alaska,6/1/22,268.916
"Boston-Cambridge-Newton, MA-NH",6/1/22,
"Dallas-Fort Worth-Arlington, TX",6/1/22,
"Denver-Aurora-Lakewood, CO",6/1/22,
"Minneapolis-St.Paul-Bloomington, MN-WI",6/1/22,
"Riverside-San Bernardino-Ontario, CA(4)",6/1/22,
"San Diego-Carlsbad, CA",6/1/22,
"Tampa-St. Petersburg-Clearwater, FL(8)",6/1/22,
Urban Hawaii,6/1/22,
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",6/1/22,
U.S. city average,7/1/22,296.276
Region and area size(2),7/1/22,
Northeast,7/1/22,305.916
Northeast - Size Class A,7/1/22,307.64
Northeast - Size Class B/C(3),7/1/22,181.579
New England(4),7/1/22,116.96
Middle Atlantic(4),7/1/22,117.457
Midwest,7/1/22,276.525
Midwest - Size Class A,7/1/22,275.964
Midwest - Size Class B/C(3),7/1/22,177.27
East North Central(4),7/1/22,119.823
West North Central(4),7/1/22,120.254
South,7/1/22,287.608
South - Size Class A,7/1/22,292.361
South - Size Class B/C(3),7/1/22,181.925
South Atlantic(4),7/1/22,121.573
East South Central(4),7/1/22,119.13
West South Central(4),7/1/22,119.492
West,7/1/22,313.951
West - Size Class A,7/1/22,322.703
West - Size Class B/C(3),7/1/22,183.277
Mountain(4),7/1/22,124.452
Pacific(4),7/1/22,121.095
Size classes,7/1/22,
Size Class A(5),7/1/22,271.676
Size Class B/C(3),7/1/22,181.171
Selected local areas,7/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",7/1/22,277.311
"Los Angeles-Long Beach-Anaheim, CA",7/1/22,313.415
"New York-Newark-Jersey City, NY-NJ-PA",7/1/22,312.615
"Atlanta-Sandy Springs-Roswell, GA",7/1/22,
"Baltimore-Columbia-Towson, MD(6)",7/1/22,
"Detroit-Warren-Dearborn, MI",7/1/22,
"Houston-The Woodlands-Sugar Land, TX",7/1/22,
"Miami-Fort Lauderdale-West Palm Beach, FL",7/1/22,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7/1/22,
"Phoenix-Mesa-Scottsdale, AZ(7)",7/1/22,
"San Francisco-Oakland-Hayward, CA",7/1/22,
"Seattle-Tacoma-Bellevue, WA",7/1/22,
"St. Louis, MO-IL",7/1/22,
Urban Alaska,7/1/22,
"Boston-Cambridge-Newton, MA-NH",7/1/22,315.841
"Dallas-Fort Worth-Arlington, TX",7/1/22,277.005
"Denver-Aurora-Lakewood, CO",7/1/22,308.728
"Minneapolis-St.Paul-Bloomington, MN-WI",7/1/22,289.265
"Riverside-San Bernardino-Ontario, CA(4)",7/1/22,125.262
"San Diego-Carlsbad, CA",7/1/22,347.462
"Tampa-St. Petersburg-Clearwater, FL(8)",7/1/22,276.75
Urban Hawaii,7/1/22,319.197
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",7/1/22,299.937
U.S. city average,8/1/22,296.171
Region and area size(2),8/1/22,
Northeast,8/1/22,306.855
Northeast - Size Class A,8/1/22,308.22
Northeast - Size Class B/C(3),8/1/22,182.401
New England(4),8/1/22,117.169
Middle Atlantic(4),8/1/22,117.877
Midwest,8/1/22,275.875
Midwest - Size Class A,8/1/22,275.928
Midwest - Size Class B/C(3),8/1/22,176.613
East North Central(4),8/1/22,119.483
West North Central(4),8/1/22,120.096
South,8/1/22,287.168
South - Size Class A,8/1/22,292.516
South - Size Class B/C(3),8/1/22,181.459
South Atlantic(4),8/1/22,121.432
East South Central(4),8/1/22,118.532
West South Central(4),8/1/22,119.413
West,8/1/22,314.013
West - Size Class A,8/1/22,322.401
West - Size Class B/C(3),8/1/22,183.543
Mountain(4),8/1/22,124.731
Pacific(4),8/1/22,121.024
Size classes,8/1/22,
Size Class A(5),8/1/22,271.757
Size Class B/C(3),8/1/22,181.017
Selected local areas,8/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",8/1/22,277.454
"Los Angeles-Long Beach-Anaheim, CA",8/1/22,313.608
"New York-Newark-Jersey City, NY-NJ-PA",8/1/22,313.28
"Atlanta-Sandy Springs-Roswell, GA",8/1/22,295.469
"Baltimore-Columbia-Towson, MD(6)",8/1/22,298.641
"Detroit-Warren-Dearborn, MI",8/1/22,271.554
"Houston-The Woodlands-Sugar Land, TX",8/1/22,264.074
"Miami-Fort Lauderdale-West Palm Beach, FL",8/1/22,316.152
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8/1/22,294.13
"Phoenix-Mesa-Scottsdale, AZ(7)",8/1/22,173.952
"San Francisco-Oakland-Hayward, CA",8/1/22,328.871
"Seattle-Tacoma-Bellevue, WA",8/1/22,326.796
"St. Louis, MO-IL",8/1/22,268.979
Urban Alaska,8/1/22,258.149
"Boston-Cambridge-Newton, MA-NH",8/1/22,
"Dallas-Fort Worth-Arlington, TX",8/1/22,
"Denver-Aurora-Lakewood, CO",8/1/22,
"Minneapolis-St.Paul-Bloomington, MN-WI",8/1/22,
"Riverside-San Bernardino-Ontario, CA(4)",8/1/22,
"San Diego-Carlsbad, CA",8/1/22,
"Tampa-St. Petersburg-Clearwater, FL(8)",8/1/22,
Urban Hawaii,8/1/22,
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",8/1/22,
U.S. city average,9/1/22,296.808
Region and area size(2),9/1/22,
Northeast,9/1/22,307.152
Northeast - Size Class A,9/1/22,308.995
Northeast - Size Class B/C(3),9/1/22,182.232
New England(4),9/1/22,117.29
Middle Atlantic(4),9/1/22,117.988
Midwest,9/1/22,276.549
Midwest - Size Class A,9/1/22,276.45
Midwest - Size Class B/C(3),9/1/22,177.104
East North Central(4),9/1/22,119.794
West North Central(4),9/1/22,120.348
South,9/1/22,287.656
South - Size Class A,9/1/22,292.969
South - Size Class B/C(3),9/1/22,181.782
South Atlantic(4),9/1/22,121.768
East South Central(4),9/1/22,118.54
West South Central(4),9/1/22,119.461
West,9/1/22,315.094
West - Size Class A,9/1/22,323.649
West - Size Class B/C(3),9/1/22,184.088
Mountain(4),9/1/22,125.163
Pacific(4),9/1/22,121.439
Size classes,9/1/22,
Size Class A(5),9/1/22,272.454
Size Class B/C(3),9/1/22,181.348
Selected local areas,9/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",9/1/22,278.03
"Los Angeles-Long Beach-Anaheim, CA",9/1/22,315.033
"New York-Newark-Jersey City, NY-NJ-PA",9/1/22,313.88
"Atlanta-Sandy Springs-Roswell, GA",9/1/22,
"Baltimore-Columbia-Towson, MD(6)",9/1/22,
"Detroit-Warren-Dearborn, MI",9/1/22,
"Houston-The Woodlands-Sugar Land, TX",9/1/22,
"Miami-Fort Lauderdale-West Palm Beach, FL",9/1/22,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9/1/22,
"Phoenix-Mesa-Scottsdale, AZ(7)",9/1/22,
"San Francisco-Oakland-Hayward, CA",9/1/22,
"Seattle-Tacoma-Bellevue, WA",9/1/22,
"St. Louis, MO-IL",9/1/22,
Urban Alaska,9/1/22,
"Boston-Cambridge-Newton, MA-NH",9/1/22,318.8
"Dallas-Fort Worth-Arlington, TX",9/1/22,278.297
"Denver-Aurora-Lakewood, CO",9/1/22,308.211
"Minneapolis-St.Paul-Bloomington, MN-WI",9/1/22,290.325
"Riverside-San Bernardino-Ontario, CA(4)",9/1/22,125.272
"San Diego-Carlsbad, CA",9/1/22,350.721
"Tampa-St. Petersburg-Clearwater, FL(8)",9/1/22,277.49
Urban Hawaii,9/1/22,321.799
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",9/1/22,299.268
U.S. city average,10/1/22,298.012
Region and area size(2),10/1/22,
Northeast,10/1/22,308.001
Northeast - Size Class A,10/1/22,309.759
Northeast - Size Class B/C(3),10/1/22,182.8
New England(4),10/1/22,117.924
Middle Atlantic(4),10/1/22,118.192
Midwest,10/1/22,276.908
Midwest - Size Class A,10/1/22,276.563
Midwest - Size Class B/C(3),10/1/22,177.431
East North Central(4),10/1/22,120.134
West North Central(4),10/1/22,120.113
South,10/1/22,288.836
South - Size Class A,10/1/22,294.198
South - Size Class B/C(3),10/1/22,182.519
South Atlantic(4),10/1/22,122.408
East South Central(4),10/1/22,118.947
West South Central(4),10/1/22,119.722
West,10/1/22,317.299
West - Size Class A,10/1/22,325.86
West - Size Class B/C(3),10/1/22,185.41
Mountain(4),10/1/22,126.1
Pacific(4),10/1/22,122.266
Size classes,10/1/22,
Size Class A(5),10/1/22,273.534
Size Class B/C(3),10/1/22,182.097
Selected local areas,10/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",10/1/22,278.415
"Los Angeles-Long Beach-Anaheim, CA",10/1/22,317.014
"New York-Newark-Jersey City, NY-NJ-PA",10/1/22,314.338
"Atlanta-Sandy Springs-Roswell, GA",10/1/22,297.058
"Baltimore-Columbia-Towson, MD(6)",10/1/22,300.628
"Detroit-Warren-Dearborn, MI",10/1/22,274.52
"Houston-The Woodlands-Sugar Land, TX",10/1/22,262.423
"Miami-Fort Lauderdale-West Palm Beach, FL",10/1/22,319.077
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10/1/22,295.978
"Phoenix-Mesa-Scottsdale, AZ(7)",10/1/22,176.337
"San Francisco-Oakland-Hayward, CA",10/1/22,332.062
"Seattle-Tacoma-Bellevue, WA",10/1/22,330.173
"St. Louis, MO-IL",10/1/22,269.134
Urban Alaska,10/1/22,261.093
"Boston-Cambridge-Newton, MA-NH",10/1/22,
"Dallas-Fort Worth-Arlington, TX",10/1/22,
"Denver-Aurora-Lakewood, CO",10/1/22,
"Minneapolis-St.Paul-Bloomington, MN-WI",10/1/22,
"Riverside-San Bernardino-Ontario, CA(4)",10/1/22,
"San Diego-Carlsbad, CA",10/1/22,
"Tampa-St. Petersburg-Clearwater, FL(8)",10/1/22,
Urban Hawaii,10/1/22,
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",10/1/22,
U.S. city average,11/1/22,297.711
Region and area size(2),11/1/22,
Northeast,11/1/22,308.394
Northeast - Size Class A,11/1/22,310.463
Northeast - Size Class B/C(3),11/1/22,182.81
New England(4),11/1/22,118.37
Middle Atlantic(4),11/1/22,118.226
Midwest,11/1/22,276.436
Midwest - Size Class A,11/1/22,275.292
Midwest - Size Class B/C(3),11/1/22,177.442
East North Central(4),11/1/22,119.877
West North Central(4),11/1/22,120.018
South,11/1/22,288.991
South - Size Class A,11/1/22,294.458
South - Size Class B/C(3),11/1/22,182.586
South Atlantic(4),11/1/22,122.793
East South Central(4),11/1/22,118.83
West South Central(4),11/1/22,119.264
West,11/1/22,315.919
West - Size Class A,11/1/22,324.407
West - Size Class B/C(3),11/1/22,184.626
Mountain(4),11/1/22,125.655
Pacific(4),11/1/22,121.695
Size classes,11/1/22,
Size Class A(5),11/1/22,273.163
Size Class B/C(3),11/1/22,181.961
Selected local areas,11/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",11/1/22,276.861
"Los Angeles-Long Beach-Anaheim, CA",11/1/22,314.633
"New York-Newark-Jersey City, NY-NJ-PA",11/1/22,314.975
"Atlanta-Sandy Springs-Roswell, GA",11/1/22,
"Baltimore-Columbia-Towson, MD(6)",11/1/22,
"Detroit-Warren-Dearborn, MI",11/1/22,
"Houston-The Woodlands-Sugar Land, TX",11/1/22,
"Miami-Fort Lauderdale-West Palm Beach, FL",11/1/22,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11/1/22,
"Phoenix-Mesa-Scottsdale, AZ(7)",11/1/22,
"San Francisco-Oakland-Hayward, CA",11/1/22,
"Seattle-Tacoma-Bellevue, WA",11/1/22,
"St. Louis, MO-IL",11/1/22,
Urban Alaska,11/1/22,
"Boston-Cambridge-Newton, MA-NH",11/1/22,320.702
"Dallas-Fort Worth-Arlington, TX",11/1/22,279
"Denver-Aurora-Lakewood, CO",11/1/22,309.655
"Minneapolis-St.Paul-Bloomington, MN-WI",11/1/22,287.396
"Riverside-San Bernardino-Ontario, CA(4)",11/1/22,125.983
"San Diego-Carlsbad, CA",11/1/22,348.145
"Tampa-St. Petersburg-Clearwater, FL(8)",11/1/22,280.395
Urban Hawaii,11/1/22,319.971
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",11/1/22,300.085
U.S. city average,12/1/22,296.797
Region and area size(2),12/1/22,
Northeast,12/1/22,308.15
Northeast - Size Class A,12/1/22,310.504
Northeast - Size Class B/C(3),12/1/22,182.457
New England(4),12/1/22,117.821
Middle Atlantic(4),12/1/22,118.312
Midwest,12/1/22,275.182
Midwest - Size Class A,12/1/22,274.078
Midwest - Size Class B/C(3),12/1/22,176.623
East North Central(4),12/1/22,119.173
West North Central(4),12/1/22,119.815
South,12/1/22,288.205
South - Size Class A,12/1/22,293.708
South - Size Class B/C(3),12/1/22,182.073
South Atlantic(4),12/1/22,122.449
East South Central(4),12/1/22,118.814
West South Central(4),12/1/22,118.818
West,12/1/22,314.599
West - Size Class A,12/1/22,323.322
West - Size Class B/C(3),12/1/22,183.686
Mountain(4),12/1/22,125.349
Pacific(4),12/1/22,121.105
Size classes,12/1/22,
Size Class A(5),12/1/22,272.495
Size Class B/C(3),12/1/22,181.316
Selected local areas,12/1/22,
"Chicago-Naperville-Elgin, IL-IN-WI",12/1/22,274.577
"Los Angeles-Long Beach-Anaheim, CA",12/1/22,312.601
"New York-Newark-Jersey City, NY-NJ-PA",12/1/22,315.656
"Atlanta-Sandy Springs-Roswell, GA",12/1/22,295.452
"Baltimore-Columbia-Towson, MD(6)",12/1/22,300.182
"Detroit-Warren-Dearborn, MI",12/1/22,271.647
"Houston-The Woodlands-Sugar Land, TX",12/1/22,258.588
"Miami-Fort Lauderdale-West Palm Beach, FL",12/1/22,322.21
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",12/1/22,294.883
"Phoenix-Mesa-Scottsdale, AZ(7)",12/1/22,175.019
"San Francisco-Oakland-Hayward, CA",12/1/22,331.222
"Seattle-Tacoma-Bellevue, WA",12/1/22,330.489
"St. Louis, MO-IL",12/1/22,269.44
Urban Alaska,12/1/22,256.634
"Boston-Cambridge-Newton, MA-NH",12/1/22,
"Dallas-Fort Worth-Arlington, TX",12/1/22,
"Denver-Aurora-Lakewood, CO",12/1/22,
"Minneapolis-St.Paul-Bloomington, MN-WI",12/1/22,
"Riverside-San Bernardino-Ontario, CA(4)",12/1/22,
"San Diego-Carlsbad, CA",12/1/22,
"Tampa-St. Petersburg-Clearwater, FL(8)",12/1/22,
Urban Hawaii,12/1/22,
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",12/1/22,
U.S. city average,1/1/23,299.17
Region and area size(2),1/1/23,
Northeast,1/1/23,310.323
Northeast - Size Class A,1/1/23,313.062
Northeast - Size Class B/C(3),1/1/23,183.459
New England(4),1/1/23,118.841
Middle Atlantic(4),1/1/23,119.078
Midwest,1/1/23,277.332
Midwest - Size Class A,1/1/23,275.942
Midwest - Size Class B/C(3),1/1/23,178.116
East North Central(4),1/1/23,120.275
West North Central(4),1/1/23,120.372
South,1/1/23,290.438
South - Size Class A,1/1/23,295.376
South - Size Class B/C(3),1/1/23,183.679
South Atlantic(4),1/1/23,123.184
East South Central(4),1/1/23,119.81
West South Central(4),1/1/23,120.118
West,1/1/23,317.477
West - Size Class A,1/1/23,327.337
West - Size Class B/C(3),1/1/23,184.717
Mountain(4),1/1/23,126
Pacific(4),1/1/23,122.406
Size classes,1/1/23,
Size Class A(5),1/1/23,274.831
Size Class B/C(3),1/1/23,182.684
Selected local areas,1/1/23,
"Chicago-Naperville-Elgin, IL-IN-WI",1/1/23,276.982
"Los Angeles-Long Beach-Anaheim, CA",1/1/23,318.591
"New York-Newark-Jersey City, NY-NJ-PA",1/1/23,318.151
"Atlanta-Sandy Springs-Roswell, GA",1/1/23,
"Baltimore-Columbia-Towson, MD(6)",1/1/23,
"Detroit-Warren-Dearborn, MI",1/1/23,
"Houston-The Woodlands-Sugar Land, TX",1/1/23,
"Miami-Fort Lauderdale-West Palm Beach, FL",1/1/23,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1/1/23,
"Phoenix-Mesa-Scottsdale, AZ(7)",1/1/23,
"San Francisco-Oakland-Hayward, CA",1/1/23,
"Seattle-Tacoma-Bellevue, WA",1/1/23,
"St. Louis, MO-IL",1/1/23,
Urban Alaska,1/1/23,
"Boston-Cambridge-Newton, MA-NH",1/1/23,324.27
"Dallas-Fort Worth-Arlington, TX",1/1/23,281.117
"Denver-Aurora-Lakewood, CO",1/1/23,312.392
"Minneapolis-St.Paul-Bloomington, MN-WI",1/1/23,288.761
"Riverside-San Bernardino-Ontario, CA(4)",1/1/23,127.683
"San Diego-Carlsbad, CA",1/1/23,354.453
Middle Atlantic(4),4/1/23,119.651
"Tampa-St. Petersburg-Clearwater, FL(8)",1/1/23,285.267
Urban Hawaii,1/1/23,320.79
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",1/1/23,299.149
U.S. city average,2/1/23,300.84
Region and area size(2),2/1/23,
Northeast,2/1/23,311.986
Northeast - Size Class A,2/1/23,314.914
Northeast - Size Class B/C(3),2/1/23,184.308
New England(4),2/1/23,119.083
Middle Atlantic(4),2/1/23,119.859
Midwest,2/1/23,278.672
Midwest - Size Class A,2/1/23,277.09
Midwest - Size Class B/C(3),2/1/23,179.052
East North Central(4),2/1/23,120.738
West North Central(4),2/1/23,121.216
South,2/1/23,292.285
South - Size Class A,2/1/23,297.391
South - Size Class B/C(3),2/1/23,184.804
South Atlantic(4),2/1/23,123.943
East South Central(4),2/1/23,120.973
West South Central(4),2/1/23,120.727
West,2/1/23,319.13
West - Size Class A,2/1/23,328.569
West - Size Class B/C(3),2/1/23,185.968
Mountain(4),2/1/23,126.934
Pacific(4),2/1/23,122.935
Size classes,2/1/23,
Size Class A(5),2/1/23,276.262
Size Class B/C(3),2/1/23,183.757
Selected local areas,2/1/23,
"Chicago-Naperville-Elgin, IL-IN-WI",2/1/23,277.978
"Los Angeles-Long Beach-Anaheim, CA",2/1/23,317.571
"New York-Newark-Jersey City, NY-NJ-PA",2/1/23,319.295
"Atlanta-Sandy Springs-Roswell, GA",2/1/23,299.916
"Baltimore-Columbia-Towson, MD(6)",2/1/23,303.749
"Detroit-Warren-Dearborn, MI",2/1/23,276.741
"Houston-The Woodlands-Sugar Land, TX",2/1/23,263.537
"Miami-Fort Lauderdale-West Palm Beach, FL",2/1/23,329.065
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2/1/23,300.882
"Phoenix-Mesa-Scottsdale, AZ(7)",2/1/23,177.118
"San Francisco-Oakland-Hayward, CA",2/1/23,337.173
"Seattle-Tacoma-Bellevue, WA",2/1/23,334.987
"St. Louis, MO-IL",2/1/23,271.581
Urban Alaska,2/1/23,256.856
"Boston-Cambridge-Newton, MA-NH",2/1/23,
"Dallas-Fort Worth-Arlington, TX",2/1/23,
"Denver-Aurora-Lakewood, CO",2/1/23,
"Minneapolis-St.Paul-Bloomington, MN-WI",2/1/23,
"Riverside-San Bernardino-Ontario, CA(4)",2/1/23,
"San Diego-Carlsbad, CA",2/1/23,
"Tampa-St. Petersburg-Clearwater, FL(8)",2/1/23,
Urban Hawaii,2/1/23,
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2/1/23,
U.S. city average,{year}-03-01,301.836
Region and area size(2),{year}-03-01,
Northeast,{year}-03-01,311.243
Northeast - Size Class A,{year}-03-01,314.624
Northeast - Size Class B/C(3),{year}-03-01,183.514
New England(4),{year}-03-01,119.099
Middle Atlantic(4),{year}-03-01,119.465
Midwest,{year}-03-01,280.33
Midwest - Size Class A,{year}-03-01,278.882
Midwest - Size Class B/C(3),{year}-03-01,180.059
East North Central(4),{year}-03-01,121.651
West North Central(4),{year}-03-01,121.506
South,{year}-03-01,293.358
South - Size Class A,{year}-03-01,298.969
South - Size Class B/C(3),{year}-03-01,185.325
South Atlantic(4),{year}-03-01,124.513
East South Central(4),{year}-03-01,121.282
West South Central(4),{year}-03-01,121.013
West,{year}-03-01,320.715
West - Size Class A,{year}-03-01,329.536
West - Size Class B/C(3),{year}-03-01,187.301
Mountain(4),{year}-03-01,127.95
Pacific(4),{year}-03-01,123.395
Size classes,{year}-03-01,
Size Class A(5),{year}-03-01,277.162
Size Class B/C(3),{year}-03-01,184.373
Selected local areas,{year}-03-01,
"Chicago-Naperville-Elgin, IL-IN-WI",{year}-03-01,280.279
"Los Angeles-Long Beach-Anaheim, CA",{year}-03-01,317.873
"New York-Newark-Jersey City, NY-NJ-PA",{year}-03-01,319.038
"Atlanta-Sandy Springs-Roswell, GA",{year}-03-01,
"Baltimore-Columbia-Towson, MD(6)",{year}-03-01,
"Detroit-Warren-Dearborn, MI",{year}-03-01,
"Houston-The Woodlands-Sugar Land, TX",{year}-03-01,
"Miami-Fort Lauderdale-West Palm Beach, FL",{year}-03-01,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",{year}-03-01,
"Phoenix-Mesa-Scottsdale, AZ(7)",{year}-03-01,
"San Francisco-Oakland-Hayward, CA",{year}-03-01,
"Seattle-Tacoma-Bellevue, WA",{year}-03-01,
"St. Louis, MO-IL",{year}-03-01,
Urban Alaska,{year}-03-01,
"Boston-Cambridge-Newton, MA-NH",{year}-03-01,324.859
"Dallas-Fort Worth-Arlington, TX",{year}-03-01,284.862
"Denver-Aurora-Lakewood, CO",{year}-03-01,316.566
"Minneapolis-St.Paul-Bloomington, MN-WI",{year}-03-01,289.968
"Riverside-San Bernardino-Ontario, CA(4)",{year}-03-01,127.707
"San Diego-Carlsbad, CA",{year}-03-01,358.026
"Tampa-St. Petersburg-Clearwater, FL(8)",{year}-03-01,288.319
Urban Hawaii,{year}-03-01,322.608
"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",{year}-03-01,302.93
U.S. city average,4/1/23,303.363
Region and area size(2),4/1/23,
Northeast,4/1/23,311.848
