,Expenditure category,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01
224,Toys(4),52.056,52.07,51.865,52.044,51.848,51.382,51.211,50.823,49.776,49.346,48.93,48.515
225,"Toys, games, hobbies and playground equipment(5)(6)",58.13,58.393,58.414,58.714,58.47,58.009,57.835,57.821,56.98,56.584,56.12,55.683
226,"Sewing machines, fabric and supplies(4)(5)",97.845,97.74,99.526,100.123,100.913,101.924,100.607,100.462,101.461,99.915,98.461,96.491
227,Music instruments and accessories(5),96.495,96.514,97.2,97.291,98.017,99.081,98.903,98.563,98.847,98.769,97.612,97.431
228,Education and communication commodities(12),91.329,91.413,91.195,90.649,90.247,89.844,89.393,88.75,89.109,88.839,88.808,88.796
229,Educational books and supplies,586.606,585.637,588.67,588.734,590.842,590.797,594.314,591.77,599.859,604.834,606.596,607.855
230,College textbooks(4)(15)(6),198.236,198.372,199.152,199.255,200.144,200.455,201.557,200.773,203.716,205.811,206.29,206.685
231,Information technology commodities(12),78.451,78.64,78.111,77.366,76.661,76.118,75.237,74.561,74.424,73.676,73.498,73.384
232,Personal computers and peripheral equipment(7),58.869,58.91,58.626,58.133,57.527,57.012,56.281,55.607,55.59,55.077,54.601,54.869
233,Computer software and accessories(4)(5),39.728,39.863,39.307,38.744,38.476,38.491,38.294,37.927,38.287,38.479,37.866,37.237
234,"Telephone hardware, calculators, and other consumer information items(4)(5)",30.404,30.611,30.357,30.047,29.85,29.681,29.34,29.337,28.98,28.382,29.039,28.704
235,Alcoholic beverages,232.558,233.898,234.015,234.282,234.425,234.46,235.022,235.199,234.999,235.348,235.47,235.804
236,Alcoholic beverages at home,194.368,195.684,195.967,195.779,195.762,195.695,196.129,196.088,195.686,195.612,195.436,196.08
237,"Beer, ale, and other malt beverages at home",209.781,210.918,211.203,210.864,210.58,210.741,210.845,209.922,209.881,211.598,212.933,213.561
238,Distilled spirits at home(4),189.573,190.432,191.594,190.525,190.454,191.041,191.511,191.883,191.659,191.918,191.089,190.72
239,Whiskey at home(6),200.278,200.782,201.347,200.365,201.525,202.702,202.089,204.359,204.383,204.526,204.502,203.893
240,"Distilled spirits, excluding whiskey, at home(4)(6)",184.711,185.931,186.924,185.847,186.802,187.209,186.461,185.355,186.635,186.671,185.832,184.852
241,Wine at home,167.998,169.529,169.546,169.763,170.02,169.554,170.267,170.965,170.192,168.299,166.857,167.757
242,Alcoholic beverages away from home(4),314.141,315.476,315.184,316.544,317.066,317.348,318.193,318.891,319.189,320.547,321.386,320.953
243,"Beer, ale, and other malt beverages away from home(4)(5)(6)",155.783,156.035,156.072,156.837,156.89,157.531,157.774,158.036,157.973,158.563,158.465,158.75
244,Wine away from home(4)(5)(6),169.845,171.619,170.986,170.83,171.47,171.514,172.11,172.416,172.59,172.995,173.73,173.661
245,Distilled spirits away from home(4)(5)(6),165.384,165.973,166.229,167.457,167.745,167.64,168.209,168.479,168.884,169.953,170.861,169.759
246,Other goods(12),104.243,104.154,104.529,104.715,104.449,104.574,105.061,105.254,105.348,105.384,105.421,105.788
247,Tobacco and smoking products(4),867.646,865.607,863.888,869.057,868.983,869.824,881.77,885.588,886.493,887.056,885.518,890.438
248,Cigarettes(4)(5),353.561,352.555,351.679,353.856,353.837,354.011,359.131,360.842,361.091,361.216,360.742,362.727
249,Tobacco products other than cigarettes(4)(5),233.18,234.251,235.465,236.148,236.044,237.814,238.678,238.286,239.623,240.74,238.903,240.42
250,Personal care products(4),160.566,160.794,162.72,162.017,161.184,161.834,161.324,162.377,162.529,161.844,161.937,162.399
251,"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",101.909,101.952,103.14,102.602,101.851,102.753,102.258,103.01,103.387,103.968,103.761,103.244
252,"Cosmetics, perfume, bath, nail preparations and implements(4)",185.196,185.678,187.978,187.354,186.845,186.603,186.364,187.404,187.006,184.145,184.809,186.989
253,Miscellaneous personal goods(5),86.017,85.838,85.772,86.172,85.829,85.242,84.679,82.705,82.726,83.893,84.585,84.333
254,"Stationery, stationery supplies, gift wrap(6)",156.627,156.338,156.267,157.061,156.912,155.924,154.949,150.987,151.014,153.836,156.105,155.801
255,Infants' equipment(4)(8)(6),88.443,88.624,89.411,89.613,89.463,89.92,90.314,88.796,88.699,88.351,88.771,87.757
256,Services less energy services,283.284,284.231,284.834,284.954,285.479,286.024,286.617,287.239,287.72,288.243,288.792,289.001
257,Shelter,260.039,260.72,261.33,261.655,262.289,262.907,263.451,264.024,264.344,264.719,265.31,265.881
258,Rent of shelter(16),270.9,271.583,272.227,272.601,273.258,273.9,274.454,275.071,275.4,275.785,276.395,276.978
259,Rent of primary residence(11),264.7,265.256,265.821,265.984,266.559,266.905,267.482,268.505,269.137,269.96,270.698,271.688
260,Lodging away from home(5),134.07,138.38,143.39,143.766,147.984,151.783,154.024,149.328,144.44,137.585,133.973,130.549
261,"Housing at school, excluding board(11)(16)",473.751,473.751,473.962,474.083,474.735,474.978,476.568,482.845,487.292,488.457,488.884,488.924
262,Other lodging away from home including hotels and motels,274.183,285.292,298.174,299.124,309.899,319.653,325.191,312.14,298.872,281.028,271.652,262.821
263,Owners' equivalent rent of residences(11)(16),267.995,268.448,268.802,269.216,269.635,270.126,270.537,271.352,271.915,272.623,273.437,274.135
264,Owners' equivalent rent of primary residence(11)(16),267.972,268.424,268.778,269.193,269.611,270.1,270.511,271.329,271.891,272.599,273.413,274.112
265,Tenants' and household insurance(4)(5),133.946,135.459,135.436,134.017,134.51,134.893,135.754,135.147,135.492,135.936,136.545,137.331
266,Water and sewer and trash collection services(5),194.553,195.505,195.981,196.319,196.727,196.989,198.173,198.736,198.804,199.759,200.004,200.203
267,Water and sewerage maintenance(11),442.19,444.814,446.071,446.612,447.548,448.234,451.2,452.459,452.456,454.864,454.999,455.317
268,Garbage and trash collection(4)(14),411.126,411.805,412.305,413.675,414.511,414.802,416.505,417.76,418.357,419.687,421.427,422.237
269,Household operations(4)(5),156.436,156.73,156.992,156.421,156.516,157.334,157.518,158.18,158.482,158.85,159.075,159.228
270,Domestic services(4)(5),148.711,148.543,148.867,149.193,149.292,150.022,149.793,150.259,150.528,151.107,151.609,152.971
271,Gardening and lawncare services(4)(5),,,,159.836,159.445,159.463,159.767,160.962,161.895,161.827,161.853,161.853
272,"Moving, storage, freight expense(4)(5)",128.134,127.83,128.346,128.472,129.606,131.268,132.093,132.596,131.316,131.314,131.355,129.125
273,Repair of household items(4)(5),204.453,204.483,204.911,204.267,204.355,206.889,207.239,207.03,207.834,209.489,209.637,209.29
274,Medical care services,448.226,451.625,452.596,452.083,451.648,453.325,453.773,456.062,457.458,457.135,456.855,457.296
275,Professional services,345.969,347.303,348.071,348.863,348.78,349.987,350.232,350.193,350.758,350.903,350.967,351.594
276,Physicians' services(11),351.25,352.266,352.575,353.529,353.372,355.105,354.775,354.712,354.967,355.354,355.555,356.469
277,Dental services(11),425.241,427.808,429.993,430.918,431.362,432.095,433.275,433.249,433.853,433.941,434.393,434.955
278,Eyeglasses and eye care(4)(9),179.414,180.096,180.331,181.0,180.597,180.513,181.467,181.213,182.09,181.43,180.383,180.765
279,Services by other medical professionals(11)(9),221.354,222.147,222.722,222.666,222.518,223.298,223.408,223.61,224.453,224.595,224.75,224.58
280,Hospital and related services,688.146,697.701,699.196,694.601,693.467,696.308,697.402,706.85,711.279,710.343,709.948,710.891
281,Hospital services(11)(17),260.035,264.071,264.586,262.595,262.06,263.287,263.698,267.741,269.691,269.27,268.978,269.365
282,Inpatient hospital services(11)(17)(6),254.32,258.789,259.082,256.982,256.601,257.793,258.106,261.915,263.458,263.203,262.859,263.581
283,Outpatient hospital services(11)(9)(6),590.146,598.049,599.641,595.678,594.091,596.287,597.326,606.362,611.432,610.652,610.309,610.065
284,Nursing homes and adult day services(11)(17),192.115,192.88,193.793,193.73,194.527,194.459,194.968,195.207,194.855,194.999,195.989,196.142
285,Care of invalids and elderly at home(4)(8),115.057,115.069,115.24,115.35,114.938,115.008,115.008,115.103,115.146,115.14,115.163,115.179
286,Health insurance(4)(8),121.925,122.844,123.078,122.849,122.55,123.018,123.108,123.792,123.902,123.388,122.845,122.373
287,Transportation services,277.406,277.96,278.874,279.065,279.948,280.184,281.08,279.523,279.491,281.697,283.116,281.68
288,Leased cars and trucks(15),87.709,87.8,87.224,86.752,86.203,86.286,86.616,85.797,86.481,87.464,87.142,85.476
289,Car and truck rental(5),125.963,125.813,127.581,126.295,122.31,122.695,131.293,132.466,126.4,122.016,119.836,126.563
290,Motor vehicle maintenance and repair(4),259.752,260.234,260.156,260.341,261.065,261.36,262.229,262.497,262.96,263.085,262.934,263.081
291,Motor vehicle body work(4),267.972,268.579,269.064,269.891,270.156,270.194,270.993,271.149,273.314,273.596,273.32,273.488
292,Motor vehicle maintenance and servicing(4),236.084,236.326,236.066,236.089,237.009,236.913,237.294,237.756,237.474,237.153,237.183,237.716
293,Motor vehicle repair(4)(5),159.937,160.329,160.349,160.501,160.838,161.228,161.978,162.03,162.605,162.905,162.724,162.609
294,Motor vehicle insurance,415.51,416.147,415.381,414.955,414.952,415.353,420.073,420.226,420.321,424.601,426.64,428.64
295,Motor vehicle fees(4)(5),173.461,173.646,173.978,173.915,174.011,174.312,175.558,175.716,175.789,175.618,175.697,175.764
296,State motor vehicle registration and license fees(4)(11)(5),167.155,167.137,167.179,167.204,167.202,167.263,168.479,168.511,168.472,168.298,168.383,168.543
297,Parking and other fees(4)(5),184.19,184.709,185.516,185.304,185.546,186.265,187.597,187.97,188.229,188.065,188.138,188.058
298,Parking fees and tolls(4)(5)(6),202.418,202.806,203.797,203.543,203.885,204.788,206.705,207.055,207.509,207.285,207.53,207.399
299,Automobile service clubs(4)(5)(6),125.679,125.993,125.791,125.744,125.693,126.677,125.99,126.117,125.844,125.308,125.121,125.593
300,Public transportation,273.577,274.684,280.356,282.364,286.896,286.832,281.394,273.893,273.182,277.556,282.318,273.161
301,Airline fare,306.603,309.283,315.303,318.815,326.5,325.321,315.789,303.848,301.476,310.012,318.197,301.357
302,Other intercity transportation,153.36,151.175,153.376,153.011,153.208,155.925,156.154,153.137,156.018,153.43,153.434,156.185
303,Intercity bus fare(4)(7)(6),,,,,,,,,,,,
304,Intercity train fare(7)(6),110.668,103.66,117.213,116.116,111.01,116.685,128.463,121.554,110.883,106.56,107.817,112.993
305,Ship fare(4)(5)(6),61.559,61.442,61.261,61.343,61.563,62.246,61.025,60.345,62.743,62.213,61.906,62.321
306,Intracity transportation(4),286.374,286.557,294.467,294.715,294.824,294.855,295.089,295.651,295.741,295.696,295.711,295.758
307,Intracity mass transit(4)(12)(6),112.599,112.663,116.246,116.372,116.417,116.453,116.558,116.791,116.825,116.825,116.828,116.854
308,Recreation services(12),106.539,107.223,107.269,107.216,107.452,107.568,107.665,107.788,108.072,108.085,108.276,108.029
309,Video and audio services(12),107.868,109.113,109.883,109.911,109.916,109.84,109.944,109.919,109.985,109.948,110.067,109.572
310,Cable and satellite television and radio service(14),399.087,403.588,406.766,407.231,407.607,407.205,407.63,407.36,407.774,407.714,408.771,407.644
311,"Video discs and other media, including rental of video and audio(4)(5)",77.893,79.061,78.786,77.894,76.996,77.248,77.228,77.651,77.269,77.053,75.579,73.451
312,Video discs and other media(4)(5)(6),47.926,48.779,48.493,48.149,47.485,46.909,46.857,47.268,46.672,46.426,45.192,43.108
313,Rental of video or audio discs and other media(4)(5)(6),116.777,117.588,117.258,116.146,115.651,116.958,117.141,117.24,117.218,117.174,116.648,116.06
314,Pet services including veterinary(5),208.561,209.205,209.745,210.836,211.14,211.433,211.773,211.725,212.613,213.115,213.528,214.295
315,Pet services(4)(5)(6),169.853,169.758,170.02,171.782,170.726,171.016,171.122,170.949,173.921,174.138,174.382,174.785
316,Veterinarian services(5)(6),216.612,217.307,217.933,219.013,219.475,219.834,220.375,220.37,220.819,221.449,222.033,223.093
317,Photographers and film processing(4)(5),117.773,117.427,117.422,118.166,117.694,118.343,118.715,118.213,119.132,120.419,119.602,119.636
318,Photographer fees(4)(5)(6),124.853,124.62,124.503,124.588,124.598,125.33,125.883,125.505,126.162,127.452,126.808,126.977
319,Film processing(4)(5)(6),113.55,113.931,113.87,114.241,113.971,113.899,114.157,114.207,115.124,115.784,115.077,115.099
320,Other recreation services(5),150.004,150.469,149.591,149.185,149.854,150.217,150.31,150.736,151.322,151.267,151.664,151.385
321,Club dues and fees for participant sports and group exercises(5),126.283,127.731,126.698,126.961,127.375,127.12,126.482,126.951,128.7,128.993,128.565,127.923
322,Admissions(4),336.328,334.404,333.625,331.163,334.11,335.539,337.262,338.673,337.399,336.28,339.553,340.305
323,"Admission to movies, theaters, and concerts(4)(5)(6)",161.916,160.993,160.553,159.256,160.51,161.467,162.398,162.856,162.042,161.667,163.66,163.864
324,Admission to sporting events(4)(5)(6),185.896,184.969,184.791,183.851,186.372,186.376,186.707,188.849,189.227,187.896,188.577,189.859
325,Fees for lessons or instructions(4)(9),277.518,279.434,276.78,276.184,275.318,276.318,276.4,276.686,277.644,277.374,277.521,278.052
326,Education and communication services(12),106.27,106.512,106.629,106.349,106.371,106.324,106.576,107.321,107.801,107.948,107.938,107.951
327,"Tuition, other school fees, and childcare",636.016,635.842,635.979,636.037,636.42,636.731,640.089,649.124,653.449,654.327,655.03,655.13
328,College tuition and fees,722.477,721.998,721.916,721.857,722.134,722.695,727.001,741.147,745.701,746.81,747.794,747.746
329,Elementary and high school tuition and fees,684.368,684.394,684.778,684.75,684.913,687.379,693.261,703.805,710.16,710.683,710.48,710.442
330,Child care and nursery school(13),257.831,257.929,258.088,258.203,258.522,258.094,258.688,259.325,261.098,261.426,261.745,261.922
331,Technical and business school tuition and fees(5),224.242,224.308,224.786,225.072,225.231,225.199,225.845,227.149,227.931,228.352,228.562,228.799
332,Postage and delivery services(5),160.182,167.829,167.909,168.08,168.021,167.92,167.788,167.811,167.821,167.856,167.969,167.946
333,Postage(4),250.721,263.671,263.671,263.671,263.671,263.671,263.671,263.671,263.671,263.671,263.671,263.671
334,Delivery services(4)(5),273.984,273.075,275.005,279.099,277.683,275.266,272.093,272.659,272.886,273.731,276.443,275.89
335,Telephone services(4)(5),101.945,101.948,101.878,101.244,101.313,101.251,101.372,101.296,101.506,101.716,101.607,101.636
336,Wireless telephone services(4)(5),59.357,59.202,59.139,58.577,58.577,58.566,58.43,58.363,58.332,58.331,58.276,58.249
337,Land-line telephone services(4)(12),107.145,107.575,107.563,107.423,107.602,107.469,108.162,108.144,108.781,109.339,109.202,109.35
338,Internet services and electronic information providers(4)(5),76.127,77.139,78.154,77.91,77.637,77.291,76.744,76.961,77.25,77.174,76.972,76.922
339,Other personal services(4)(12),106.484,106.965,107.109,107.437,107.555,107.633,107.735,108.045,108.095,108.069,108.219,108.41
340,Personal care services(4),237.051,237.297,237.73,238.253,238.257,238.188,239.093,239.737,239.843,239.214,240.123,240.709
341,Haircuts and other personal care services(4)(5),144.64,144.79,145.054,145.373,145.375,145.334,145.886,146.279,146.344,145.96,146.514,146.872
342,Miscellaneous personal services,377.011,379.477,379.881,381.239,381.896,382.395,382.131,383.269,383.452,383.89,383.887,384.416
343,Legal services(9),306.202,309.892,310.386,310.395,310.244,311.652,311.908,314.108,314.021,314.979,313.736,314.281
344,Funeral expenses(9),299.157,300.074,299.335,299.463,300.973,301.702,301.739,302.377,302.916,302.827,304.096,305.028
345,Laundry and dry cleaning services(4)(5),149.498,149.033,149.116,149.276,149.277,149.304,149.149,149.297,149.5,149.688,149.837,150.331
346,Apparel services other than laundry and dry cleaning(4)(5),172.372,172.708,174.671,174.048,173.938,174.365,174.846,174.939,174.46,174.666,175.404,175.85
347,Financial services(4)(9),290.409,295.216,295.719,299.917,301.381,299.711,298.655,298.776,298.789,298.868,298.988,298.333
348,Checking account and other bank services(4)(5)(6),141.137,141.204,141.22,141.208,141.335,147.829,147.621,147.621,147.645,147.655,147.67,147.674
349,Tax return preparation and other accounting fees(5)(6),190.911,193.273,193.701,197.198,199.069,198.595,197.981,198.131,198.161,198.247,198.24,197.658
350,,,,,,,,,,,,,
351,Special aggregate indexes,,,,,,,,,,,,
352,,,,,,,,,,,,,
353,All items less food,229.344,231.543,232.243,231.88,232.411,233.018,233.092,233.353,233.65,232.893,232.375,232.314
354,All items less shelter,221.246,223.629,224.241,223.774,224.105,224.647,224.563,224.732,224.988,223.993,223.088,222.834
355,All items less food and shelter,217.124,220.093,220.846,220.141,220.629,221.237,221.082,221.193,221.483,220.162,219.094,218.723
356,"All items less food, shelter, and energy",216.086,216.992,217.621,217.723,217.708,217.627,217.548,217.953,218.6,218.986,218.765,218.037
357,"All items less food, shelter, energy, and used cars and trucks",220.356,221.225,221.761,221.777,221.7,221.57,221.434,221.819,222.606,223.105,222.979,222.241
358,All items less medical care,221.028,222.876,223.465,223.229,223.696,224.216,224.289,224.497,224.731,224.105,223.625,223.631
359,All items less energy,231.679,232.363,232.889,233.123,233.264,233.456,233.616,234.071,234.53,234.905,234.937,234.768
360,Commodities,185.613,188.539,189.286,188.513,188.441,188.423,188.055,188.202,188.278,187.168,185.896,185.62
361,"Commodities less food, energy, and used cars and trucks",147.344,147.858,148.337,148.494,148.139,147.652,146.998,147.164,147.956,148.269,147.754,146.798
362,Commodities less food,161.594,165.599,166.605,165.355,165.379,165.25,164.669,164.712,164.77,163.122,161.478,161.014
363,Commodities less food and beverages,158.949,163.006,164.031,162.746,162.767,162.635,162.025,162.065,162.13,160.436,158.752,158.269
364,Services,274.639,275.521,275.994,276.268,277.154,278.277,278.818,279.23,279.693,279.582,279.875,280.102
365,Services less rent of shelter(16),300.332,301.52,301.825,301.999,303.231,305.015,305.581,305.781,306.44,305.726,305.663,305.482
366,Services less medical care services,261.438,262.164,262.602,262.919,263.872,264.95,265.489,265.788,266.192,266.094,266.417,266.629
367,Durables,111.805,112.097,112.269,112.46,112.529,112.524,112.304,112.047,111.678,111.314,110.934,110.704
368,Nondurables,222.16,226.49,227.54,226.246,226.096,226.071,225.63,226.0,226.324,224.824,223.085,222.79
369,Nondurables less food,208.685,216.3,218.116,215.46,215.439,215.191,214.259,214.599,215.077,212.184,209.313,208.623
370,Nondurables less food and beverages,207.108,215.053,216.959,214.148,214.119,213.855,212.844,213.192,213.707,210.641,207.612,206.868
371,"Nondurables less food, beverages, and apparel",263.151,275.194,277.105,272.136,272.646,273.289,272.853,272.469,270.894,265.022,261.057,261.666
372,Nondurables less food and apparel,259.172,270.277,272.032,267.516,267.994,268.583,268.231,267.895,266.44,261.106,257.496,258.079
373,Housing,224.79,225.382,225.643,225.986,226.896,228.068,228.374,228.564,228.808,228.362,228.449,228.892
374,Education and communication(5),135.225,135.517,135.625,135.23,135.204,135.098,135.334,136.119,136.723,136.86,136.844,136.857
375,Education(5),221.822,221.742,221.861,221.882,222.058,222.158,223.34,226.224,227.833,228.242,228.514,228.578
376,Communication(5),82.774,83.149,83.235,82.759,82.666,82.506,82.372,82.293,82.446,82.465,82.351,82.344
377,Information and information processing(5),79.208,79.414,79.498,79.019,78.927,78.769,78.638,78.558,78.711,78.73,78.613,78.607
378,"Information technology, hardware and services(18)",8.555,8.632,8.679,8.63,8.581,8.535,8.459,8.445,8.459,8.422,8.401,8.392
379,Recreation(5),114.816,115.35,115.386,115.359,115.57,115.407,115.384,115.336,115.203,115.202,115.325,114.855
380,Video and audio(5),98.993,99.824,100.251,100.054,100.1,99.881,99.769,99.652,99.566,99.468,99.542,99.01
381,"Pets, pet products and services(5)",163.153,163.835,164.305,164.911,165.123,164.446,164.564,164.598,164.511,165.071,165.399,164.992
382,Photography(5),76.258,77.341,78.216,77.88,77.83,77.598,77.075,77.471,77.312,77.307,76.727,76.067
383,Food and beverages,236.183,236.23,236.267,236.761,236.474,236.726,236.957,237.348,237.444,237.794,237.585,237.82
384,Domestically produced farm food,241.509,241.505,241.166,241.277,240.887,241.054,241.291,241.667,241.644,241.924,241.207,241.358
385,Other services,325.993,327.276,327.576,327.216,327.535,327.607,328.16,329.637,330.723,330.964,331.202,331.067
386,Apparel less footwear,118.291,119.947,122.104,122.544,121.408,119.444,117.613,119.285,123.425,124.961,123.321,120.472
387,Fuels and utilities,220.228,220.992,220.251,221.382,224.847,230.506,230.899,229.85,230.318,225.244,223.566,224.407
388,Household energy,189.19,189.768,188.81,189.969,193.701,199.911,200.01,198.685,199.186,193.28,191.347,192.224
389,Medical care,420.687,423.221,424.154,423.815,422.834,424.264,424.836,426.866,428.026,428.082,427.74,427.089
390,Transportation,212.299,219.491,221.08,218.592,219.438,220.044,219.992,219.217,218.088,214.943,212.844,212.911
391,Private transportation,207.331,214.823,216.167,213.438,214.066,214.706,214.964,214.581,213.435,209.879,207.401,207.997
392,New and used motor vehicles(5),99.984,100.345,100.809,101.162,101.199,101.413,101.568,101.505,101.21,100.95,100.582,100.44
393,Utilities and public transportation,208.635,209.289,209.72,210.427,212.835,215.69,215.447,214.079,214.279,212.201,211.742,211.039
394,Household furnishings and operations,125.4,125.601,125.33,125.198,125.355,125.412,124.793,124.493,124.314,124.177,123.692,123.409
395,Other goods and services,397.543,398.291,399.265,400.239,399.966,400.347,401.454,402.403,402.675,402.693,403.047,404.097
396,Personal care,213.249,213.934,214.754,215.041,214.854,215.058,214.915,215.289,215.41,215.38,215.749,216.109
397,,,,,,,,,,,,,
